igntype=5
&atvlist
natv=300
targettemp=1000.0
flamedistance=4.00
/
354.15 137.36 353.58 135.43 49.06 50.39 
350.74 125.74 350.18 123.81 57.06 58.39 
347.34 114.12 346.77 112.19 65.06 66.39 
343.93 102.5 343.37 100.56 73.06 74.39 
340.53 90.88 339.96 88.94 81.06 82.39 
337.12 79.26 336.55 77.32 89.06 90.39 
333.72 67.64 333.15 65.7 97.06 98.39 
330.31 56.02 329.74 54.08 105.06 106.39 
342.38 167.64 341.82 165.7 38.73 40.07 
338.98 156.02 338.41 154.08 46.73 48.07 
335.57 144.4 335.0 142.46 54.73 56.07 
332.17 132.78 331.6 130.84 62.73 64.07 
328.76 121.16 328.19 119.22 70.73 72.07 
325.35 109.54 324.79 107.6 78.73 80.07 
321.95 97.92 321.38 95.98 86.73 88.07 
318.54 86.3 317.97 84.36 94.73 96.07 
315.14 74.68 314.57 72.74 102.73 104.07 
311.73 63.05 311.16 61.12 110.73 112.07 
342.71 239.18 342.14 237.25 0.0 1.33 
339.3 227.56 338.74 225.63 8.0 9.33 
335.9 215.94 335.33 214.0 16.0 17.33 
332.49 204.32 331.92 202.38 24.0 25.33 
329.09 192.7 328.52 190.76 32.0 33.33 
325.68 181.08 325.11 179.14 40.0 41.33 
322.27 169.46 321.71 167.52 48.0 49.33 
318.87 157.84 318.3 155.9 56.0 57.33 
315.46 146.22 314.89 144.28 64.0 65.33 
312.06 134.6 311.49 132.66 72.0 73.33 
308.65 122.98 308.08 121.04 80.0 81.33 
305.24 111.35 304.68 109.42 88.0 89.33 
301.84 99.73 301.27 97.8 96.0 97.33 
298.43 88.11 297.87 86.18 104.0 105.33 
295.03 76.49 294.46 74.56 112.0 113.33 
274.16 75.71 274.72 77.65 120.99 122.32 
277.56 87.33 278.13 89.27 128.99 130.32 
280.97 98.95 281.54 100.89 136.99 138.32 
284.37 110.57 284.94 112.51 144.99 146.32 
287.78 122.19 288.35 124.13 152.99 154.32 
291.19 133.81 291.75 135.75 160.99 162.32 
294.59 145.43 295.16 147.37 168.99 170.32 
298.0 157.05 298.56 158.99 176.99 178.32 
301.4 168.67 301.97 170.61 184.99 186.32 
304.81 180.3 305.38 182.23 192.99 194.32 
308.22 191.92 308.78 193.85 200.99 202.32 
311.62 203.54 312.19 205.47 208.99 210.32 
315.03 215.16 315.59 217.09 216.99 218.32 
318.43 226.78 319.0 228.72 224.99 226.32 
321.84 238.4 322.41 240.34 232.99 234.32 
325.24 250.02 325.81 251.96 240.99 242.32 
328.65 261.64 329.22 263.58 248.99 250.32 
332.06 273.26 332.62 275.2 256.99 258.32 
260.09 98.16 260.66 100.1 139.26 140.59 
263.5 109.78 264.07 111.72 147.26 148.59 
266.91 121.4 267.47 123.34 155.26 156.59 
270.31 133.02 270.88 134.96 163.26 164.59 
273.72 144.64 274.29 146.58 171.26 172.59 
278.4 160.61 278.97 162.55 182.25 183.58 
281.8 172.23 282.37 174.17 190.25 191.58 
285.21 183.85 285.78 185.79 198.25 199.58 
288.62 195.47 289.18 197.41 206.25 207.58 
292.02 207.09 292.59 209.03 214.25 215.58 
295.43 218.71 296.0 220.65 222.25 223.58 
298.83 230.34 299.4 232.27 230.25 231.58 
302.24 241.96 302.81 243.89 238.25 239.58 
305.65 253.58 306.21 255.51 246.25 247.58 
309.05 265.2 309.62 267.13 254.25 255.58 
312.46 276.82 313.03 278.76 262.25 263.58 
315.86 288.44 316.43 290.38 270.25 271.58 
319.27 300.06 319.84 302.0 278.25 279.58 
268.93 198.73 269.5 200.67 211.31 212.64 
272.34 210.35 272.9 212.29 219.31 220.64 
275.74 221.97 276.31 223.91 227.31 228.64 
279.15 233.59 279.72 235.53 235.31 236.64 
282.55 245.22 283.12 247.15 243.31 244.64 
285.96 256.84 286.53 258.77 251.31 252.64 
289.37 268.46 289.93 270.39 259.31 260.64 
292.77 280.08 293.34 282.01 267.31 268.64 
296.18 291.7 296.74 293.64 275.31 276.64 
299.58 303.32 300.15 305.26 283.31 284.64 
302.99 314.94 303.56 316.88 291.31 292.64 
306.4 326.56 306.96 328.5 299.31 300.64 
299.59 373.76 299.02 371.82 306.94 308.27 
296.18 362.14 295.61 360.2 314.94 316.27 
292.78 350.52 292.21 348.58 322.94 324.27 
289.37 338.9 288.8 336.96 330.94 332.27 
285.96 327.28 285.4 325.34 338.94 340.27 
282.56 315.66 281.99 313.72 346.94 348.27 
279.15 304.04 278.58 302.1 354.94 356.27 
275.75 292.42 275.18 290.48 362.94 364.27 
272.34 280.79 271.77 278.86 370.94 372.27 
268.93 269.17 268.37 267.24 378.94 380.27 
265.53 257.55 264.96 255.62 386.94 388.27 
262.12 245.93 261.55 244.0 394.94 396.27 
258.72 234.31 258.15 232.37 402.94 404.27 
255.31 222.69 254.74 220.75 410.94 412.27 
285.8 397.14 285.23 395.2 301.36 302.7 
282.39 385.52 281.82 383.58 309.36 310.7 
278.99 373.9 278.42 371.96 317.36 318.7 
275.58 362.28 275.01 360.34 325.36 326.7 
272.17 350.66 271.61 348.72 333.36 334.7 
268.77 339.04 268.2 337.1 341.36 342.7 
265.36 327.42 264.79 325.48 349.36 350.7 
261.96 315.79 261.39 313.86 357.36 358.7 
258.55 304.17 257.98 302.24 365.36 366.7 
255.14 292.55 254.58 290.62 373.36 374.7 
251.74 280.93 251.17 279.0 381.36 382.7 
